board_id	page	post_id	title	author	date	replies	views
9	1	9	2024彩金银龙2850,2012彩金银龙3100电联	nannan01223	2025-05-09 17:19:57	1	11
11	1	11	长期收购：三版伍角纺织工人包捆	常林芝	2025-05-09 17:19:43	5	15
8	1	8	售j159议会版票	李德龙	2025-05-09 17:19:40	7	45
10	1	10	求点纪念币（2025年5月9日）	wuhongxing0001	2025-05-09 17:19:36	4	1351
9	1	9	黄梅戏金银2900,花开富贵金银封装2650电联	nannan01223	2025-05-09 17:19:27	1	11
11	1	11	长期收购：三版纸币纺织5角整包整捆	yaoxing1212	2025-05-09 17:19:15	9	23
11	1	11	马甸收购三版纺织五角▓▓▓▓	收购钱币	2025-05-09 17:19:11	8	35
11	1	11	长期收购：三版贰角大桥包捆	常林芝	2025-05-09 17:18:39	5	17
9	1	9	卖2012年金套猫	赣州陈建军	2025-05-09 17:18:31	10	203
8	1	8	大主席散4枚	大方老林	2025-05-09 17:18:26	1	12
11	1	11	长期收购：三版纸币拖拉机一元整包整捆	yaoxing1212	2025-05-09 17:18:12	9	24
10	1	10	卖二猴早期精品盒5盒品相非常好一盒起卖 收藏精品的来	yigang	2025-05-09 17:18:09	1	25
10	1	10	出二蛇2盒16卷，旦角1盒6卷，二龙，二虎，二兔，二牛	唐金凤	2025-05-09 17:18:06	0	11
7	1	7	100元钱溅卖几十枚早期零散明信片	xiangwang	2025-05-09 17:18:05	270	4355
7	1	7	便宜价出几套早期明信片	xiangwang	2025-05-09 17:17:47	250	4217
10	1	10	求购二龙二蛇二鼠二狗裂卷	taotao13579	2025-05-09 17:17:23	3	199
11	1	11	长期收购：三版币1.2.5分整包麻袋，....团结整捆，5元炼钢整捆[长]	常林芝	2025-05-09 17:17:01	5	25
10	1	10	长期收购：精制币--生肖精制币-遗产精....动物精制币-人物精制币[长]	yaoxing1212	2025-05-09 17:16:36	9	49
11	1	11	北京上海广州市场批发第一版大全套第二套大全套单张	中国古月轩錢荘	2025-05-09 17:16:36	1	11
11	1	11	全国高价收购：三版下乡包捆	常林芝	2025-05-09 17:16:29	5	18
8	1	8	求购T60宫灯	济南黄洪亮	2025-05-09 17:16:15	2	76
9	1	9	400求购97年本银牛	大湖名城	2025-05-09 17:16:11	0	4
11	1	11	北京上海广州市场批发第一版大全套第二三套大中小全套	中国古月轩錢荘	2025-05-09 17:16:05	1	13
11	1	11	▉▉▉▉▉▉▉▉▉一版大工农6码	邵小奇	2025-05-09 17:16:04	0	9
9	1	9	1260出中国龙	陈石	2025-05-09 17:15:56	0	8
9	1	9	长期收购：套金猫，银猫	陈乃忠	2025-05-09 17:15:48	10	54
9	1	9	低价快出150克彩银龙	爱上东方红	2025-05-09 17:15:40	3	140
10	1	10	收购：建行纪念币整卷，9品以上	常林芝	2025-05-09 17:15:25	5	34
9	1	9	2024 公斤银龙两枚 靓号	轨迹123	2025-05-09 17:15:13	0	17
10	1	10	出二羊卡币	马全义	2025-05-09 17:15:07	0	15
10	1	10	84-05年纪念币老精装册	彭宏春	2025-05-09 17:14:58	4	50
9	1	9	890出一枚中国龙	爱上东方红	2025-05-09 17:14:57	3	146
10	1	10	12.7出3卷蛇币包邮	pauh	2025-05-09 17:14:57	2	78
10	1	10	售2羊一件	长沙钱币小徐	2025-05-09 17:14:54	0	16
9	1	9	Ngc68 取得真经 公斤银币	山东小崔	2025-05-09 17:14:47	4	37
9	1	9	1000出中国龙银币2枚	王军礼品	2025-05-09 17:14:45	1	70
10	1	10	出蛇币12.7，12卷	任伟夫888	2025-05-09 17:14:37	0	39
9	1	9	820每克出24节气金币带证书4枚，电联	nannan01223	2025-05-09 17:14:32	1	16
8	1	8	本店长期出售！！生肖、纪特、文革、JT、编号、80 猴	红色典藏	2025-05-09 17:14:24	1	68
9	1	9	千连箱拆，2015福证书无347，000＿999一套	山东小崔	2025-05-09 17:14:17	4	42
11	1	11	水坝补号971冠号 6连号无47	老钱庄88	2025-05-09 17:14:10	0	6
9	1	9	长期收购生肖 彩金银 本金银 扇银 梅花银币公斤银币	常林芝	2025-05-09 17:13:48	5	24
10	1	10	快出5卷蛇币3卷旦币	zhanghongwen	2025-05-09 17:13:29	5	67
11	1	11	▉▉▉▉▉▉▉▉▉一版黄北海	邵小奇	2025-05-09 17:13:07	0	6
11	1	11	高价收，二三版各种刀捆包货	陈乃忠	2025-05-09 17:13:06	10	29
11	1	11	1张背绿	辞忧	2025-05-09 17:13:02	0	15
11	1	11	水坝971补号标十 无47	老钱庄88	2025-05-09 17:12:47	0	9
10	1	10	收购精制纪念币 老精稀有品种 生肖 遗产，动物	常林芝	2025-05-09 17:12:44	5	29
8	1	8	卖朱毛周刘各一套	金城	2025-05-09 17:12:42	2	77
9	1	9	1688。收一枚。爱藏70 首发	北京常学宏	2025-05-09 17:12:34	0	6
11	1	11	1张深水坝	辞忧	2025-05-09 17:12:34	0	6
11	1	11	长期全国收购：三版大桥两角整捆整包	陈乃忠	2025-05-09 17:12:34	10	19
10	1	10	长期收购：精制币--生肖精制币-遗产精制币	陈乃忠	2025-05-09 17:12:01	10	37
10	1	10	18元需要龙币卷盒5000枚允许微裂	陆岳明	2025-05-09 17:11:53	4	560
11	1	11	5.9日收购无油一分捆/包	男能可贵	2025-05-09 17:11:53	3	122
7	1	7	售：JP280龙头片	风雨一炉	2025-05-09 17:11:48	0	8
11	1	11	长期收购：三版纸币纺织5角整包整捆	郑雷	2025-05-09 17:11:16	10	18
8	1	8	红楼40分两枚	peiwen	2025-05-09 17:10:52	1	55
10	1	10	长期收购：精制币--生肖精制币	郑雷	2025-05-09 17:10:42	10	43
11	1	11	黄一角无47	老钱庄88	2025-05-09 17:10:36	0	8
9	1	9	1020出龙银5个原一桶	woshiyuandatou	2025-05-09 17:10:30	0	11
