board_id	page	post_id	title	author	date	replies	views
9	1	9	售中国龙银币香港ngc70首日一个	西北王	2025-05-12 00:04:03	1	133
9	1	9	出12年本金银兔和彩金银兔	赵氏钱庄	2025-05-12 00:04:03	0	14
10	1	10	12.2收蛇币  6.2收旦角	小易爱收藏	2025-05-12 00:03:29	28	1532
9	1	9	出中国龙.香港城市卡	西北王	2025-05-12 00:02:36	1	157
9	1	9	出云商永结同心银币	王红亮	2025-05-12 00:00:29	3	358
10	1	10	二龙5卷	宿州刘磊	2025-05-11 23:59:58	5	319
9	1	9	发行价出各种银币14枚	古襄阳钱币	2025-05-11 23:59:54	3	128
9	1	9	低出《盛世大典-中华魁宝》(尊享珍藏版)一套	古襄阳钱币	2025-05-11 23:59:24	3	47
10	1	10	18.5元需要龙币卷盒5000枚允许微裂	陆岳明	2025-05-11 23:59:07	10	1071
9	1	9	出08奥运二组公斤银币一枚	赵氏钱庄	2025-05-11 23:57:42	0	24
9	1	9	卖5OZ生肖羊张大千原封全品	冲击波818	2025-05-11 23:57:36	0	14
10	1	10	奥运卷拆品奥一25套37/枚奥二22奥....14/套动物等如图通走[长]	石文志	2025-05-11 23:57:06	0	20
10	1	10	出售京剧生角纪念币一盒	睡到自然醒	2025-05-11 23:55:29	3	151
8	1	8	5月8号收购JT套票	上海大赵	2025-05-11 23:53:54	6	579
8	1	8	套票价出杜鹃花，火箭大版	龙岩邮币卡	2025-05-11 23:52:03	4	150
9	1	9	出10年本金银虎5套	赵氏钱庄	2025-05-11 23:51:53	0	30
10	1	10	卖康银阁民族大团结（建国50周年）一套	邮币骆驼	2025-05-11 23:51:27	1	60
9	1	9	出09本金银牛6套	赵氏钱庄	2025-05-11 23:48:32	0	33
11	1	11	一口价1088---炼钢小连等5枚	朱林章	2025-05-11 23:47:17	0	32
10	1	10	车工四张	龙春前	2025-05-11 23:46:14	0	73
11	1	11	一口价28800---大团结好号百连无斑1刀	朱林章	2025-05-11 23:44:29	0	36
11	1	11	出二分（贰分）575冠1包加3捆	赵氏钱庄	2025-05-11 23:43:58	3	72
11	1	11	下乡三刀	龙春前	2025-05-11 23:43:44	1	98
9	1	9	低售建国50周年5盎司方形银币1枚	赵氏钱庄	2025-05-11 23:43:27	2	71
10	1	10	6.2先款收旦角100卷，货发广东，货发广东	茂名小李	2025-05-11 23:43:16	7	335
11	1	11	长期收购一二三四版纸币	北京李涛	2025-05-11 23:41:31	3	32
9	1	9	优售96年红军长征60周年金银币一套	赵氏钱庄	2025-05-11 23:39:55	2	78
11	1	11	【车工2张】1088元不议.	东北金健	2025-05-11 23:39:25	3	78
11	1	11	车工4张	2748021902	2025-05-11 23:39:11	1	64
7	1	7	求纪念张极限片首日封纪念封	于慧敏	2025-05-11 23:38:05	16	307
9	1	9	出一套25年150克彩银蛇，证书1008号	壶泉收藏	2025-05-11 23:37:22	0	34
8	1	8	20250511收购新票散票	孝感逛荡	2025-05-11 23:36:32	1	135
10	1	10	12/枚求购二蛇币2000枚	营口小高	2025-05-11 23:36:03	2	168
9	1	9	出梅花银龙靓号带盒子88 888，彩金银龙靓号带盒子888	唐山阿杜	2025-05-11 23:35:41	2	112
10	1	10	收蛇币 卷盒	旭日钱庄	2025-05-11 23:35:35	0	330
9	1	9	6600出一套火星探测金银币	壶泉收藏	2025-05-11 23:35:29	0	20
10	1	10	12.6收【二蛇】好品10盒	冯光伟	2025-05-11 23:34:16	0	115
10	1	10	惠售康银阁京剧如意旦卷	祥瑞藏品	2025-05-11 23:33:49	0	24
11	1	11	宝塔山倒置号	Lda888	2025-05-11 23:33:28	0	35
9	1	9	出2024年5克小奔富龙7枚，证书包装齐全！	石正堂	2025-05-11 23:32:56	4	120
10	1	10	1250元求蛇币原盒	长春何宇恒	2025-05-11 23:32:18	5	318
9	1	9	出中金国衡首发2019年3元贺岁福字银币	批发羊皮的狼	2025-05-11 23:32:10	1	29
10	1	10	12.4出蛇币好卷10卷	朝阳浩哥	2025-05-11 23:30:03	0	93
10	1	10	便宜出 旦 蛇  虎豹 冰雪	许平	2025-05-11 23:28:43	2	94
8	1	8	【5月12日求购一些套票、散票】	绿州邮票社	2025-05-11 23:28:16	0	73
11	1	11	三版豹子号狮子号，倒置号豹子号	李家辉	2025-05-11 23:27:10	13	95
9	1	9	出售24年贺岁金银，证书019688，....5088，010818[长]	壶泉收藏	2025-05-11 23:27:05	7	112
11	1	11	低出带油1分捆	魏星星2017	2025-05-11 23:26:59	3	72
9	1	9	求购08海南银币	xieming22	2025-05-11 23:26:25	0	18
10	1	10	求航天 高铁 建军 改革	朱江朱雨晨	2025-05-11 23:26:15	0	71
11	1	11	两捆无油无斑绝，品二分	魏星星2017	2025-05-11 23:25:47	3	92
11	1	11	1分微油好品一分捆	魏星星2017	2025-05-11 23:24:54	6	124
10	1	10	12.4出10盒二蛇	郑州小靳	2025-05-11 23:24:45	2	223
11	1	11	低出1分捆	魏星星2017	2025-05-11 23:24:32	2	86
8	1	8	奔马，旦角套票	太原小郝	2025-05-11 23:24:24	0	61
8	1	8	220元打包售一帖杂项	辽宁鞍山李爽	2025-05-11 23:24:11	5	102
11	1	11	低出2捆荧光1分捆	魏星星2017	2025-05-11 23:23:40	0	21
10	1	10	求宪法 希望 敦煌 老抗战 世妇会	朱江朱雨晨	2025-05-11 23:23:19	0	48
9	1	9	出售靓号梅花牛，虎，兔银币	壶泉收藏	2025-05-11 23:23:10	0	24
11	1	11	美品荧光2分捆	魏星星2017	2025-05-11 23:22:18	1	29
8	1	8	售极品83年猪评选等（80---2023年	辽宁鞍山李爽	2025-05-11 23:22:10	5	85
11	1	11	荧光2分捆	魏星星2017	2025-05-11 23:21:42	1	46
11	1	11	三版首发，补号	李家辉	2025-05-11 23:18:36	9	102
9	1	9	售2000年千年5盎司银币1枚	赵氏钱庄	2025-05-11 23:17:27	0	22
8	1	8	长期收购，齐白石，西游记，奔马，大批，女教师，厂名	海上明月夜	2025-05-11 23:16:36	8	200
10	1	10	出售建行NGC65	在路上19791982	2025-05-11 23:16:07	0	40
10	1	10	先款15.2求购二虎.二羊.二蛇,二龙....北虎豹,京剧旦角.生角[长]	chengxinlicai	2025-05-11 23:15:22	8	488
9	1	9	出梅花银龙	乘风起	2025-05-11 23:15:19	2	142
9	1	9	求购，1996年红军长征60周年银币证书。	我的好兄弟	2025-05-11 23:13:37	1	28
10	1	10	二蛇1卷，12.2一枚，京剧旦1卷，6.2一枚，顺丰安全到手	如意钱币馆	2025-05-11 23:12:47	5	140
11	1	11	██▇▆▄求微油荧光125分捆▄▅▆▇█	际农钱币社	2025-05-11 23:12:13	0	21
9	1	9	出木塔银币4个	恒生收藏	2025-05-11 23:11:42	0	39
11	1	11	三版5角平水雷达号，红三凸，稀冠拖拉机	李家辉	2025-05-11 23:11:30	13	153
9	1	9	求购1998年周恩来银币证书	我的好兄弟	2025-05-11 23:11:25	1	32
10	1	10	收和一黄金卡 精制卡 京剧生 龙币 等	一隅僻静在一方	2025-05-11 23:11:14	2	90
11	1	11	二版长号伍分豹子号333	xiaolianghao2222	2025-05-11 23:11:09	2	41
10	1	10	出和三5卷	三五	2025-05-11 23:09:09	8	131
9	1	9	卖24年封装梅花龙银币	老李2022	2025-05-11 23:08:58	0	76
9	1	9	出两枚梅花龙银币靓号	王员外的杂货铺	2025-05-11 23:08:48	2	124
10	1	10	二猴，和四，航天，等卷盒	三五	2025-05-11 23:08:36	7	141
9	1	9	3600求购150彩银蛇	爱上东方红	2025-05-11 23:07:14	2	357
11	1	11	降价出黄五元	三五	2025-05-11 23:07:01	7	180
9	1	9	880快出中国龙银币5桶	李建锋	2025-05-11 23:06:46	2	300
11	1	11	三版币尾8，尾66	李家辉	2025-05-11 23:06:23	9	66
10	1	10	航天一带号原件	三五	2025-05-11 23:06:21	7	258
10	1	10	二猴卷盒	shijielai	2025-05-11 23:05:34	5	83
9	1	9	出02本银马，红十字会,99本银兔,2....禁城，97中国旅游年等[长]	三五	2025-05-11 23:05:05	7	80
10	1	10	单价18.6出500枚二龙硬币	山西小岳	2025-05-11 23:04:59	1	106
10	1	10	出建军一盒	三五	2025-05-11 23:04:12	8	121
8	1	8	收购：80猴、纪特、文革、编号、JT版票、厂铭	红色典藏	2025-05-11 23:03:56	2	348
10	1	10	12.2出蛇币 6.3出旦角 10出虎豹	好集￥	2025-05-11 23:03:38	2	136
9	1	9	出24年小彩龙两个原盒	恒生收藏	2025-05-11 23:03:34	3	147
11	1	11	~~~~低售三版车工，炼钢，大团结原票 ~~~~	张艳静	2025-05-11 23:03:25	0	31
10	1	10	2卷蛇币12.3一枚！旦角币5卷100枚！一枚6.2！	福泉轩钱币店	2025-05-11 23:01:46	2	76
10	1	10	★★★★★出：蛇币6卷，京剧生1卷，旦角2卷	否终则泰	2025-05-11 23:00:43	0	36
11	1	11	原票  车工一张	叶润舒	2025-05-11 22:58:31	3	158
10	1	10	先款收建党百年、建国70周年、二虎、双山	古玩男孩	2025-05-11 22:58:23	5	186
9	1	9	￥￥￥甲辰彩龙 NGC首日发行70分 150克彩龙￥￥￥	songsong	2025-05-11 22:57:15	2	75
8	1	8	售j43四运会版票	李德龙	2025-05-11 22:56:23	6	57
11	1	11	优售:原票好品 长号伍分 一枚	明杰纸钞	2025-05-11 22:54:10	1	47
9	1	9	出一套2024年3元贺岁五福.证书五连无347含尾88	批发羊皮的狼	2025-05-11 22:52:52	1	22
11	1	11	特殊全倒置:三版绝 品百连 红三平 一刀【1116111】	明杰纸钞	2025-05-11 22:52:34	14	139
8	1	8	售j159议会版票	李德龙	2025-05-11 22:52:20	8	55
10	1	10	收购二蛇 12.3要3000枚 旦6.3要3000枚	老刘钱币	2025-05-11 22:50:05	18	678
10	1	10	售：京剧纪念币【生】一盒【上面333豹....下面919全同倒置号】[长]	明杰纸钞	2025-05-11 22:49:11	14	203
10	1	10	█ █ 求购：二蛇币原卷11.8/枚；旦角原卷6/枚	完美音符	2025-05-11 22:48:44	4	78
8	1	8	处理176枚单票台湾风光和西双版纳一起....元，品如图，请看好购买[长]	桥老爷	2025-05-11 22:48:31	3	104
9	1	9	出售24年封装梅花银龙53333号	弘润藏品	2025-05-11 22:44:57	0	44
9	1	9	2001年熊猫银币368	海朋	2025-05-11 22:44:48	3	87
10	1	10	出蛇币600枚(30卷)	信阳光明	2025-05-11 22:44:37	1	113
10	1	10	求购二龙  建党100	奉天乾运	2025-05-11 22:44:27	1	191
9	1	9	出2024年甲辰龙150克，证书靓号6588	唐山阿杜	2025-05-11 22:43:56	0	64
9	1	9	高价收购中国龙银币200个【10桶】要求原桶！！	上海刘必炎	2025-05-11 22:43:47	1	540
9	1	9	出一些生肖，吉祥文化等金银币盒	批发羊皮的狼	2025-05-11 22:43:47	5	75
9	1	9	2021年金总封装15克竹报平安	批发羊皮的狼	2025-05-11 22:43:07	1	64
10	1	10	收二蛇3000枚 一轮马 邓小平 可以闲鱼	浦东小张邮币	2025-05-11 22:42:48	1	113
11	1	11	小三套后三同493，183	恒大收藏	2025-05-11 22:42:05	1	19
10	1	10	出售希望 人大 联合国 建党 世妇 敦煌	盛世藏品987	2025-05-11 22:42:04	0	34
10	1	10	售二蛇，猪，狗，鸡，猴卷盒	钱多钱少	2025-05-11 22:41:58	7	182
10	1	10	。。售整卷23年熊猫记念币。。	洪城集邮者李军	2025-05-11 22:41:40	0	31
